Pstatus_A,Pstatus_T,internet_no,internet_yes,romantic_no,romantic_yes,higher_no,higher_yes,famsup_no,famsup_yes,nursery_no,nursery_yes,Pstatus_A,Pstatus_T,Pstatus_A,Pstatus_T,romantic_no,romantic_yes,Pstatus_A,Pstatus_T
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
